genotype,replicate,treatment,nC21(11.08),C22:1(11.4),cVA(11.47),nC22(11.51),9-T(11.84),7-T(11.87),5-T(11.92),nC23(11.94),MeC24(12.75),9-P(12.83),7-P(12.87),5-P(12.92),MeC26(14.03),7-H(14.21),nC27(14.32),MeC28(15.9)
Greece,1,control,0.1908672,0.04189333,0.07505617,0.1056077,0.4134229,4.320025,0.3088505,1.30474,0.09521826,0.1499368,1.729406,0.09626402,0.7330707,0.1521913,0.05635902,0.2693981
Greece,2,control,0.1651064,0.0456103,0.0595033,0.1105017,0.3982119,3.716303,0.2810913,1.171253,0.084506,0.1436117,1.622651,0.087899,0.7023217,0.1429417,0.0453936,0.3069334
Greece,3,control,0.1507945,0.0411858,0.0626121,0.1056802,0.3953436,3.796247,0.2934904,1.178541,0.0932498,0.161709,1.75144,0.1058146,0.753867,0.1733239,0.0861594,0.3085184
Greece,4,control,0.1610187,0.0426598,0.057442,0.1001496,0.389878,3.701229,0.2859319,1.119861,0.088378,0.1489592,1.621736,0.0938423,0.6840398,0.1443731,0.0467582,0.2769187
Greece,5,control,0.1808144,0.0512657,0.058849,0.1238681,0.4198321,3.823744,0.3089061,1.08462,0.1148454,0.1420447,1.518159,0.0980221,0.6738665,0.1366184,0.0570497,0.1980419
California,1,control,0.1866776,0.0422595,0.2049768,0.164064,0.1395082,2.703552,0.199891,0.9219022,0.2387196,0.0562392,0.3826442,-0.000000086,0.6113471,-0.000000086,0.0426333,0.2309367
California,2,control,0.1516942,0.0342484,0.2130237,0.1394976,0.121418,2.186736,0.1576948,0.7638346,0.1875828,0.0444871,0.3117807,-8.05E-08,0.4854369,-8.05E-08,0.0270471,0.1835525
California,3,control,0.1630231,0.0385192,0.1135568,0.1428195,0.094139,2.373089,0.1601505,0.8201782,0.220344,0.0573979,0.3428657,-7.95E-08,0.5225206,-7.95E-08,0.0336535,0.2189652
California,4,control,0.1634982,0.0394842,0.1291844,0.1488968,0.1542841,2.475191,0.1796931,0.8540753,0.2443176,0.0659545,0.4174834,-8.01E-08,0.5569258,-8.01E-08,0.02932,0.1909987
California,5,control,0.1535614,0.0371324,0.1460344,0.146917,0.0594923,2.290473,0.1731602,0.7691066,0.2506295,0.0599255,0.3791036,-7.81E-08,0.5626772,-7.81E-08,0.0531975,0.1814154
Taiwan,1,control,0.2763312,0.1026634,1.24036,0.1956772,0.5368769,6.316377,0.4185575,1.156047,0.2925481,0.1458182,0.5662001,-8.84E-08,0.4997823,-8.84E-08,0.0879709,0.396682
