fly_ID,line,trait,replicate,size
1,mel_C,ST,1,0.004242917
2,mel_C,ST,2,0.004656626
3,mel_C,ST,3,0.004778362
4,mel_C,ST,4,0.004596346
5,mel_C,ST,5,0.004656626
6,mel_G,ST,1,0.00453646
7,mel_G,ST,2,0.00657555
8,mel_G,ST,3,0.005607939
9,mel_G,ST,4,0.00483982
10,mel_G,ST,5,0.004476966
11,mel_GFP,ST,1,0.003903625
12,mel_GFP,ST,2,0.005475992
13,mel_GFP,ST,3,0.004596346
14,mel_GFP,ST,4,0.004185387
15,mel_GFP,ST,5,0.004963913
16,mel_M,ST,1,0.003631681
17,mel_M,ST,2,0.004128249
18,mel_M,ST,3,0.00490167
19,mel_M,ST,4,0.004656626
20,mel_M,ST,5,0.003848451
21,mel_T,ST,1,0.005674502
22,mel_T,ST,2,0.004359156
23,mel_T,ST,3,0.005741457
24,mel_T,ST,4,0.00430084
25,mel_T,ST,5,0.004717298
