video_ID,video_block,position,cross_ID,female_line,first_male,second_male,donor_males,cross_type,treatment,died,M_display,M_wingflaps,M_tapping,M_licking,cop_attempts,cop_success,latency,duration,time_spent_courting,courtship_effort,courtship_over_time
13,4,A2,22,A7_Taiwan,mel_GFP,A7_Taiwan,A7_Taiwan,TT,control,N,9,36,21,15,20,N,NA,NA,120,101,0.841666667
14,4,A1,23,B7_Malaysia,mel_GFP,B7_Malaysia,yak_S09_L38,MM,treatment,N,3,17,4,8,2,Y,10.9,34.3,10.9,34,3.119266055
15,4,B2,27,B7_Malaysia,mel_GFP,B7_Malaysia,B7_Malaysia,MM,control,N,0,8,10,5,0,N,NA,NA,120,23,0.191666667
16,4,B1,28,A7_Taiwan,mel_GFP,A7_Taiwan,yak_S09_L38,TT,treatment,N,0,18,23,10,0,N,NA,NA,120,51,0.425
17,5,A2,33,A7_Taiwan,mel_GFP,B7_Malaysia,B7_Malaysia,TM,treatment,N,1,21,8,8,7,N,NA,NA,120,45,0.375
18,5,A1,34,A7_Taiwan,mel_GFP,A7_Taiwan,A7_Taiwan,TT,control,N,2,13,26,7,0,N,NA,NA,120,48,0.4
19,5,B2,35,B7_Malaysia,mel_GFP,B7_Malaysia,yak_S09_L38,MM,control,N,1,28,14,2,9,N,NA,NA,120,54,0.45
20,5,B1,37,A7_Taiwan,mel_GFP,B7_Malaysia,yak_S09_L38,TM,treatment,N,0,16,12,3,6,N,NA,NA,120,37,0.308333333
21,6,A2,49,A7_Taiwan,mel_GFP,A7_Taiwan,A7_Taiwan,TT,control,N,0,15,9,5,6,N,NA,NA,120,35,0.291666667
22,6,A1,50,A7_Taiwan,mel_GFP,A7_Taiwan,yak_S09_L38,TT,treatment,N,0,19,16,1,5,N,NA,NA,120,41,0.341666667
23,6,B2,51,A7_Taiwan,mel_GFP,B7_Malaysia,B7_Malaysia,TM,control,N,1,38,17,16,23,N,NA,NA,120,95,0.791666667
24,6,B1,53,A7_Taiwan,mel_GFP,A7_Taiwan,A7_Taiwan,TT,control,N,0,14,7,3,0,N,NA,NA,120,24,0.2
