,int,courtship_mean,courtship_sd,second_male,treatment,remating_prop,P2_mean,P2_sd,cross_type,sperm_mean,testis_mean,SR_mean,SR_minus_sperm,FRT_mean,MRT_mean,sperm_minus_tester
1,control.CC,1.536517413,1.475053196,C,c,1,0.777302843,0.245769236,CxC,1.814037778,2.858,2.1344,0.191563398,0.09458,0.02502,0.101187778
2,treatment.CC,1.051666667,0.315094783,C,t,1,0.799023234,0.169340748,CxC,1.814037778,2.858,2.1344,0.191563398,0.09458,0.02502,0.101187778
3,control.CG,0.281142857,0.157586531,G,c,0.857142857,0.44014504,0.29371696,CxG,1.60918,2.8682,2.1344,0.191563398,0.09458,0.02926,-0.10367
4,treatment.CG,0.263333333,0.252872388,G,t,0.75,0.454084116,0.314864528,CxG,1.60918,2.8682,2.1344,0.191563398,0.09458,0.02926,-0.10367
5,control.CM,0.555,0.396757693,M,c,0.857142857,0.417684292,0.267093253,CxM,1.661752936,2.342,2.1344,0.191563398,0.09458,0.0281,-0.051097064
6,treatment.CM,0.347222222,0.254278209,M,t,0.714285714,0.503741204,0.360838913,CxM,1.661752936,2.342,2.1344,0.191563398,0.09458,0.0281,-0.051097064
7,control.CT,0.395,0.301074465,T,c,1,0.457702912,0.286995494,CxT,1.762988571,2.344,2.1344,0.191563398,0.09458,0.02248,0.050138571
8,treatment.CT,0.366666667,0.198431348,T,t,0.857142857,0.533287549,0.266113988,CxT,1.762988571,2.344,2.1344,0.191563398,0.09458,0.02248,0.050138571
9,control.GC,1.077807018,0.402167823,C,c,0.625,0.968914956,0.043575779,GxC,1.814037778,2.858,2.0594,0.103422809,0.0627,0.02502,0.101187778
10,treatment.GC,0.963333333,0.49974299,C,t,0.555555556,0.912680343,0.087950013,GxC,1.814037778,2.858,2.0594,0.103422809,0.0627,0.02502,0.101187778
11,control.GG,0.632543573,0.5147698,G,c,0.384615385,0.874343434,0.148991782,GxG,1.60918,2.8682,2.0594,0.103422809,0.0627,0.02926,-0.10367
12,treatment.GG,0.265277778,0.253608221,G,t,0.416666667,0.448270677,0.228762657,GxG,1.60918,2.8682,2.0594,0.103422809,0.0627,0.02926,-0.10367
13,control.GM,1.073558263,0.588937477,M,c,0.888888889,0.519438319,0.270910516,GxM,1.661752936,2.342,2.0594,0.103422809,0.0627,0.0281,-0.051097064
14,treatment.GM,0.661666667,0.218628935,M,t,0.6,0.816315084,0.195984689,GxM,1.661752936,2.342,2.0594,0.103422809,0.0627,0.0281,-0.051097064
15,control.GT,0.37,0.26897439,T,c,0.555555556,0.89964986,0.155210337,GxT,1.762988571,2.344,2.0594,0.103422809,0.0627,0.02248,0.050138571
16,treatment.GT,0.246666667,0.13547755,T,t,0.875,0.986081146,0.018939577,GxT,1.762988571,2.344,2.0594,0.103422809,0.0627,0.02248,0.050138571
17,control.MC,0.921666667,0.318012491,C,c,0.857142857,0.852153205,0.13911153,MxC,1.814037778,2.858,1.9006,0.153065814,0.0823,0.02502,0.101187778
18,treatment.MC,0.67,0.268004457,C,t,1,0.842112641,0.19524154,MxC,1.814037778,2.858,1.9006,0.153065814,0.0823,0.02502,0.101187778
19,control.MG,0.514143645,0.512243667,G,c,1,0.49765668,0.268917771,MxG,1.60918,2.8682,1.9006,0.153065814,0.0823,0.02926,-0.10367
20,treatment.MG,0.455,0.193164438,G,t,0.666666667,0.500549037,0.227235585,MxG,1.60918,2.8682,1.9006,0.153065814,0.0823,0.02926,-0.10367
21,control.MM,0.49,0.242484249,M,c,0.615384615,0.410865233,0.28095041,MxM,1.661752936,2.342,1.9006,0.153065814,0.0823,0.0281,-0.051097064
22,treatment.MM,0.775519878,1.313679236,M,t,0.625,0.465337195,0.298704923,MxM,1.661752936,2.342,1.9006,0.153065814,0.0823,0.0281,-0.051097064
23,control.MT,0.732405063,0.708203265,T,c,1,0.690797812,0.277650444,MxT,1.762988571,2.344,1.9006,0.153065814,0.0823,0.02248,0.050138571
24,treatment.MT,0.518333333,0.517083165,T,t,0.777777778,0.870516979,0.136005442,MxT,1.762988571,2.344,1.9006,0.153065814,0.0823,0.02248,0.050138571
25,control.TC,0.581666667,0.291094677,C,c,0.625,0.915183885,0.064518832,TxC,1.814037778,2.858,2.061,0.129754738,0.05428,0.02502,0.101187778
26,treatment.TC,0.601666667,0.478836843,C,t,1,0.816689817,0.135970419,TxC,1.814037778,2.858,2.061,0.129754738,0.05428,0.02502,0.101187778
27,control.TG,0.338333333,0.072791559,G,c,0.357142857,0.366916855,0.362004979,TxG,1.60918,2.8682,2.061,0.129754738,0.05428,0.02926,-0.10367
28,treatment.TG,0.295,0.173765487,G,t,0.625,0.610462512,0.230967488,TxG,1.60918,2.8682,2.061,0.129754738,0.05428,0.02926,-0.10367
29,control.TM,0.428333333,0.256755937,M,c,0.636363636,0.263742532,0.246734458,TxM,1.661752936,2.342,2.061,0.129754738,0.05428,0.0281,-0.051097064
30,treatment.TM,0.336666667,0.237141543,M,t,0.384615385,0.206061458,0.166703387,TxM,1.661752936,2.342,2.061,0.129754738,0.05428,0.0281,-0.051097064
31,control.TT,0.458333333,0.252418854,T,c,0.666666667,0.759133343,0.187336497,TxT,1.762988571,2.344,2.061,0.129754738,0.05428,0.02248,0.050138571
32,treatment.TT,0.343333333,0.102130091,T,t,0.8,0.640586031,0.219670486,TxT,1.762988571,2.344,2.061,0.129754738,0.05428,0.02248,0.050138571
