fly_ID,line,replicate,thorax_length_M_mm,testis_length_mm,testis_over_thorax,thorax_length_F_mm,SR_length_mm,SR_over_thorax,ST_h_mm,ST_w_mm,ST_avg_radius,ST_area_mm2,ST_over_thorax,nonMRT_mass_mg,MRT_mass_mg,body_mass_M_mg,MRT_over_body,nonFRT_mass_mg,FRT_mass_mg,body_mass_F_mg,FRT_over_body,sperm_length_mm
1,mel_C,1,0.79,2.99,3.784810127,0.941,2.265,2.407013815,0.075,0.072,0.03675,0.004242917,0.004508945,0.24,0.03,0.27,0.111111111,0.2796,0.0652,0.3448,0.189095128,1.766888889
2,mel_C,2,0.722,2.86,3.961218837,0.835,2.07,2.479041916,0.074,0.08,0.0385,0.004656626,0.005576797,0.2496,0.0191,0.2687,0.071082992,0.2966,0.1125,0.4091,0.274993889,1.8519
3,mel_C,3,0.816,2.66,3.259803922,0.884,2.32,2.624434389,0.076,0.08,0.039,0.004778362,0.005405387,0.2541,0.0233,0.2774,0.083994232,0.3098,0.085,0.3948,0.215298886,1.7988
4,mel_C,4,0.834,2.824,3.386091127,0.893,1.883,2.10862262,0.077,0.076,0.03825,0.004596346,0.005147084,0.2123,0.0279,0.2402,0.116153206,0.2759,0.1019,0.3778,0.269719428,1.8153
5,mel_C,5,0.783,2.956,3.775223499,0.858,2.134,2.487179487,0.082,0.072,0.0385,0.004656626,0.005427303,0.1904,0.0248,0.2152,0.115241636,0.2793,0.1083,0.3876,0.279411765,1.8373
6,mel_G,1,0.905,2.981,3.293922652,0.928,2.042,2.200431034,0.078,0.074,0.038,0.00453646,0.004888426,0.229,0.0344,0.2634,0.130599848,0.2649,0.0596,0.3245,0.18366718,1.617
7,mel_G,2,0.802,3.013,3.756857855,0.907,1.966,2.167585447,0.102,0.081,0.04575,0.00657555,0.007249779,0.1835,0.0247,0.2082,0.118635927,0.2892,0.0835,0.3727,0.224040783,1.6222
8,mel_G,3,0.844,2.711,3.212085308,0.916,2.017,2.201965066,0.088,0.081,0.04225,0.005607939,0.006122204,0.1847,0.0279,0.2126,0.131232361,0.243,0.0512,0.2942,0.174031271,1.600833333
9,mel_G,4,0.849,2.989,3.520612485,0.855,2.195,2.567251462,0.08,0.077,0.03925,0.00483982,0.005660608,0.2173,0.0295,0.2468,0.119529984,0.2882,0.0594,0.3476,0.170886076,1.572666667
10,mel_G,5,0.787,2.647,3.363405337,0.924,2.077,2.247835498,0.075,0.076,0.03775,0.004476966,0.004845201,0.2091,0.0298,0.2389,0.124738384,0.2976,0.0598,0.3574,0.16731953,1.6332
11,mel_GFP,1,0.82,2.681,3.269512195,0.968,2.145,2.215909091,0.071,0.07,0.03525,0.003903625,0.004032671,0.2309,0.0231,0.254,0.090944882,0.2909,0.0995,0.3904,0.254866803,1.6875
12,mel_GFP,2,0.874,2.603,2.97826087,0.979,3.046,3.1113381,0.087,0.08,0.04175,0.005475992,0.005593455,0.2226,0.0267,0.2493,0.10709988,0.2896,0.1026,0.3922,0.261601224,1.761
13,mel_GFP,3,0.917,2.739,2.98691385,0.974,2.364,2.427104723,0.078,0.075,0.03825,0.004596346,0.004719041,0.2081,0.0253,0.2334,0.108397601,0.2898,0.0762,0.366,0.208196721,1.6315
14,mel_GFP,4,0.866,2.897,3.345265589,0.872,2.523,2.893348624,0.073,0.073,0.0365,0.004185387,0.004799756,0.2299,0.024,0.2539,0.094525404,0.3028,0.0876,0.3904,0.224385246,1.77725
15,mel_GFP,5,0.858,2.754,3.20979021,0.961,1.834,1.90842872,0.08,0.079,0.03975,0.004963913,0.005165362,0.2328,0.0311,0.2639,0.11784767,0.2958,0.0798,0.3756,0.212460064,1.707
16,mel_M,1,0.738,2.484,3.365853659,0.821,1.883,2.293544458,0.064,0.072,0.034,0.003631681,0.004423485,0.2126,0.0283,0.2409,0.117476131,0.2146,0.033,0.2476,0.133279483,1.6931
17,mel_M,2,0.777,2.249,2.894465894,0.804,1.745,2.17039801,0.067,0.078,0.03625,0.004128249,0.005134638,0.2917,0.0336,0.3253,0.103289271,0.2776,0.0949,0.3725,0.254765101,1.670428571
18,mel_M,3,0.754,2.575,3.415119363,0.839,2.083,2.482717521,0.072,0.086,0.0395,0.00490167,0.005842276,0.2371,0.0264,0.2635,0.100189753,0.3441,0.1353,0.4794,0.282227785,1.6315
19,mel_M,4,0.819,2.139,2.611721612,0.924,1.995,2.159090909,0.077,0.077,0.0385,0.004656626,0.005039638,0.2078,0.0245,0.2323,0.105467068,0.2813,0.0765,0.3578,0.213806596,1.658111111
